2020-04-05 === 19:40:02.312 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Starting SpringBootClientApplication on pc with PID 15284 (C:\Users\yan\IdeaProjects\spring-boot-client\target\classes started by yan in C:\Users\yan\IdeaProjects\spring-boot-client)
2020-04-05 === 19:40:02.327 === [main] === DEBUG === com.yan.springboot.SpringBootClientApplication === Running with Spring Boot v2.2.5.RELEASE, Spring v5.2.4.RELEASE
2020-04-05 === 19:40:02.327 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === No active profile set, falling back to default profiles: default
2020-04-05 === 19:40:04.624 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 8080 (http)
2020-04-05 === 19:40:04.640 === [main] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-04-05 === 19:40:04.640 === [main] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-05 === 19:40:04.827 === [main] === INFO  === org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-04-05 === 19:40:04.827 === [main] === INFO  === org.springframework.web.context.ContextLoader === Root WebApplicationContext: initialization completed in 2250 ms
2020-04-05 === 19:40:05.140 === [main] === INFO  === org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-04-05 === 19:40:05.249 === [main] === INFO  === org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping === Adding welcome page: class path resource [templates/index.html]
2020-04-05 === 19:40:05.436 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 8080 (http) with context path ''
2020-04-05 === 19:40:05.436 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Started SpringBootClientApplication in 4.044 seconds (JVM running for 6.24)
2020-04-05 === 19:43:47.712 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Starting SpringBootClientApplication on pc with PID 6816 (C:\Users\yan\IdeaProjects\spring-boot-client\target\classes started by yan in C:\Users\yan\IdeaProjects\spring-boot-client)
2020-04-05 === 19:43:47.720 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === No active profile set, falling back to default profiles: default
2020-04-05 === 19:43:51.847 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 8080 (http)
2020-04-05 === 19:43:51.897 === [main] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-04-05 === 19:43:51.900 === [main] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-05 === 19:43:52.512 === [main] === INFO  === org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring embedded WebApplicationContext
2020-04-05 === 19:43:52.514 === [main] === INFO  === org.springframework.web.context.ContextLoader === Root WebApplicationContext: initialization completed in 4628 ms
2020-04-05 === 19:43:53.864 === [main] === INFO  === org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor === Initializing ExecutorService 'applicationTaskExecutor'
2020-04-05 === 19:43:54.177 === [main] === INFO  === org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping === Adding welcome page: class path resource [templates/index.html]
2020-04-05 === 19:43:54.700 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat started on port(s): 8080 (http) with context path ''
2020-04-05 === 19:43:54.712 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Started SpringBootClientApplication in 8.829 seconds (JVM running for 14.501)
2020-04-05 === 19:43:55.446 === [http-nio-8080-exec-1] === INFO  === org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] === Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-05 === 19:43:55.466 === [http-nio-8080-exec-1] === INFO  === org.springframework.web.servlet.DispatcherServlet === Initializing Servlet 'dispatcherServlet'
2020-04-05 === 19:43:55.503 === [http-nio-8080-exec-1] === INFO  === org.springframework.web.servlet.DispatcherServlet === Completed initialization in 34 ms
2020-04-05 === 19:44:25.692 === [http-nio-8080-exec-6] === INFO  === com.yan.springboot.controller.DownloadController === 下载文件不存在！
2020-04-05 === 19:47:54.561 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === Starting SpringBootClientApplication on pc with PID 3988 (C:\Users\yan\IdeaProjects\spring-boot-client\target\classes started by yan in C:\Users\yan\IdeaProjects\spring-boot-client)
2020-04-05 === 19:47:54.568 === [main] === INFO  === com.yan.springboot.SpringBootClientApplication === No active profile set, falling back to default profiles: default
2020-04-05 === 19:47:58.325 === [main] === INFO  === org.springframework.boot.web.embedded.tomcat.TomcatWebServer === Tomcat initialized with port(s): 8080 (http)
2020-04-05 === 19:47:58.349 === [main] === INFO  === org.apache.catalina.core.StandardService === Starting service [Tomcat]
2020-04-05 === 19:47:58.350 === [main] === INFO  === org.apache.catalina.core.StandardEngine === Starting Servlet engine: [Apache Tomcat/9.0.31]
